									COORDS
PACK		NAME					%offX	%offY	%width	%height			URL
01_rdo		gafas_mama_osa 			0.5		0.2		1		0.354			http://ec2-72-44-38-226.compute-1.amazonaws.com/ouat/objects/01_rdo/sd/gafas_mama_osa.png
01_rdo		gorra_osezno 			0.34	-0.7	1.6		0.88			http://ec2-72-44-38-226.compute-1.amazonaws.com/ouat/objects/01_rdo/sd/gorra_osezno.png
01_rdo		hocico_mama_osa			0.5		0.5		1.1		0.9563			http://ec2-72-44-38-226.compute-1.amazonaws.com/ouat/objects/01_rdo/sd/hocico_mama_osa.png
01_rdo		hocico_osezno			0.6		0.45	1		0.9656			http://ec2-72-44-38-226.compute-1.amazonaws.com/ouat/objects/01_rdo/sd/hocico_osezno.png
01_rdo		hocico_papa_oso			0.6		0.4		1.05	1.101			http://ec2-72-44-38-226.compute-1.amazonaws.com/ouat/objects/01_rdo/sd/hocico_papa_oso.png
01_rdo		lazo_mama_osa			-0.09	-0.52	1.1		0.7121			http://ec2-72-44-38-226.compute-1.amazonaws.com/ouat/objects/01_rdo/sd/lazo_mama_osa.png
01_rdo		lazo_ricitos			0.98	-0.54	1		0.9172			http://ec2-72-44-38-226.compute-1.amazonaws.com/ouat/objects/01_rdo/sd/lazo_ricitos.png
01_rdo		orejas_mama_osa			0.5		-0.4	1.2		0.3708			http://ec2-72-44-38-226.compute-1.amazonaws.com/ouat/objects/01_rdo/sd/orejas_mama_osa.png
01_rdo		orejas_osezno			0.5		-0.4	1.2		0.4118			http://ec2-72-44-38-226.compute-1.amazonaws.com/ouat/objects/01_rdo/sd/orejas_osezno.png
01_rdo		orejas_papa_oso			0.5		-0.4	1.2		0.3696			http://ec2-72-44-38-226.compute-1.amazonaws.com/ouat/objects/01_rdo/sd/orejas_papa_oso.png
01_rdo		pajarita_papa_oso		0.6		1.3		1		0.5101			http://ec2-72-44-38-226.compute-1.amazonaws.com/ouat/objects/01_rdo/sd/pajarita_papa_oso.png
01_rdo		pecas_ricitos			0.5		0.42	0.9		0.2999			http://ec2-72-44-38-226.compute-1.amazonaws.com/ouat/objects/01_rdo/sd/pecas_ricitos.png
01_rdo		peluca_ricitos			0.4		-0.6	1.7		1.6841			http://ec2-72-44-38-226.compute-1.amazonaws.com/ouat/objects/01_rdo/sd/peluca_ricitos.png
01_rdo		pipa_papa_oso			1.1		0.61	1		0.5				http://ec2-72-44-38-226.compute-1.amazonaws.com/ouat/objects/01_rdo/sd/pipa_papa_oso.png
01_rdo		sombrero_papa_oso		0.42	-0.6	1.6		0.8961			http://ec2-72-44-38-226.compute-1.amazonaws.com/ouat/objects/01_rdo/sd/sombrero_papa_oso.png

02_l3c		gorra 					0.32	-0.6	1.5		0.8961			http://ec2-72-44-38-226.compute-1.amazonaws.com/ouat/objects/02_l3c/sd/gorra.png
02_l3c		hocico_cerdito 			8.85	0.41	0.6		0.6				http://ec2-72-44-38-226.compute-1.amazonaws.com/ouat/objects/02_l3c/sd/hocico_cerdito.png
02_l3c		hocico_lobo 			0.6		0.35	1.05	1.101			http://ec2-72-44-38-226.compute-1.amazonaws.com/ouat/objects/02_l3c/sd/hocico_lobo.png
02_l3c		lazo 					0.6		-1		1		1				http://ec2-72-44-38-226.compute-1.amazonaws.com/ouat/objects/02_l3c/sd/lazo.png
02_l3c		manzana 														http://ec2-72-44-38-226.compute-1.amazonaws.com/ouat/objects/02_l3c/sd/manzana.png
02_l3c		oreja_cerdito_derecha 	1.5		-0.5	0.7		0.7				http://ec2-72-44-38-226.compute-1.amazonaws.com/ouat/objects/02_l3c/sd/oreja_cerdito_derecha.png
02_l3c		oreja_cerdito_izquierda 0		-0.5	0.7		0.7				http://ec2-72-44-38-226.compute-1.amazonaws.com/ouat/objects/02_l3c/sd/oreja_cerdito_izquierda.png
02_l3c		oreja_lobo_derecha 		1.3		-0.5	0.7		0.7				http://ec2-72-44-38-226.compute-1.amazonaws.com/ouat/objects/02_l3c/sd/oreja_lobo_derecha.png
02_l3c		oreja_lobo_izquierda 	0.2		-0.5	0.7		0.7				http://ec2-72-44-38-226.compute-1.amazonaws.com/ouat/objects/02_l3c/sd/oreja_lobo_izquierda.png
02_l3c		sombrero_cerdito_paja 	0.38	-0.7	1.6		0.99			http://ec2-72-44-38-226.compute-1.amazonaws.com/ouat/objects/02_l3c/sd/sombrero_cerdito_paja.png

03_cr		cacerola													http://ec2-72-44-38-226.compute-1.amazonaws.com/ouat/objects/03_cr/sd/cacerola.png
03_cr		caperuza				0.3		-0.5	1.7		2.5				http://ec2-72-44-38-226.compute-1.amazonaws.com/ouat/objects/03_cr/sd/caperuza.png
03_cr		gorro_abuela			0.34	-0.65	1.5		0.8961			http://ec2-72-44-38-226.compute-1.amazonaws.com/ouat/objects/03_cr/sd/gorro_abuela.png
03_cr		hocico_lobo				0.6		0.35	1.05	1.101			http://ec2-72-44-38-226.compute-1.amazonaws.com/ouat/objects/03_cr/sd/hocico_lobo.png
03_cr		manzana*													http://ec2-72-44-38-226.compute-1.amazonaws.com/ouat/objects/03_cr/sd/manzana.png
03_cr		oreja_lobo_derecha*		1.3		-0.5	0.7		0.7				http://ec2-72-44-38-226.compute-1.amazonaws.com/ouat/objects/03_cr/sd/oreja_lobo_derecha.png
03_cr		oreja_lobo_izquierda*	0.2		-0.5	0.7		0.7				http://ec2-72-44-38-226.compute-1.amazonaws.com/ouat/objects/03_cr/sd/oreja_lobo_izquierda.png
03_cr		peluca_abuela			0.2		-0.7	2		2				http://ec2-72-44-38-226.compute-1.amazonaws.com/ouat/objects/03_cr/sd/peluca_abuela.png
03_cr		peluca_caperucita		0.2		-0.8	2		2.7				http://ec2-72-44-38-226.compute-1.amazonaws.com/ouat/objects/03_cr/sd/peluca_caperucita.png
